source_name,text,stance_hand_label,stance_topic_col,stance_str,topic,stance_score
The Meidastouch Podcast,"we're using them. Oh, those aren't war plans. Case closed. That's what the Trump regime says. Case closed. We're not talking about it anymore. Well, now we learned that Mike Walls, the National Security Advisor and his staff, yeah, they've been using Gmail for government communications. This breaking from the Washington Post yesterday. Mike Walls and other members of Trump's National Security Council conducted their government business over personal Gmail accounts where they held conversations about highly sensitive information, including about military positions, powerful weapons systems, and more. By the way, let me share this with you as well. This from France 24 where they're talking about the Chinese war planes surrounding the self determining island of Taiwan. Just watch how the international media is covering what's going on and just notice that. Do you hear any response from Donald Trump? By the way, have you heard Donald Trump on his own without being asked a question from the media? Talk about the four American soldiers who died in Lithuania. Have you heard Donald Trump talk about that at all? Express sympathy, express compassion. I know he's incapable of that. Anyway, let me Play this clip for you. Let's play it. Chinese warships troops and planes surrounded the island of Taiwan Tuesday and a blatant show of military force. The drill focuses on exercises on CN air combat patrols, seizing control, seeing land strikes and blocking key areas and roads to test the combat capabilities of our troops. This is a severe warning and forceful containment against the Taiwan independent separatist force sit. I wanna tell you about our next sponsor, StopBox. I",AGAINST,stance_china,AGAINST,china,-1
The Tucker Carlson Show,"love each other. Almost no parent needs to have this explained. Every parent knows it intuitively. And it's not just the family that most basic and important organization in human civilization is every organization from your office to a military unit, to your state, to your country, leaders have as their first and most sacred duty, the responsibility to unite the people who follow them, to keep them whole, to keep them together. And to do the opposite of that systematically over decades using the media primarily, but also now just from the podium is evil. It's absolutely evil because it's a perfect inversion of their duty. And, they have tried harder than really any task. They certainly haven't put their effort into managing the economy or paving the roads or making it safe to walk to CVS. They've done just the opposite because they've been so focused on making us hate each other. So that's the first thing I noticed. So they're not just incompetent, they're really bad on a deep level. Actually no country deserves the leaders that we have. No state deserves leaders. You have, by the way, I can say, I, I've spent so much time in in, in the Commonwealth of Pennsylvania. And I always think to myself, how is the worst place in the state allowed to run the entire state? I'm not gonna name it, but why do they have all the power? Why do the work, the people with the longest track record of failure have total control over the rest of the state, which is beautiful and filled with great people. Like how does that work? That doesn't look like democracy to me. But You can extrapolate outward to an entire country and say, how does a country of",AGAINST,stance_united_states,AGAINST,united_states,-1
The Tucker Carlson Show,"brokers and to the government agencies that buy that data. That means anyone out there trying to profit from you and your personal data can't. Well, how do we know it works? Well, we know for a fact it works because this winner, when my producers and I were in Russia conducting interviews, including with the president of that country, internet traffic was getting blocked by the government. So we got an Express VPN account, and were able to get that interview out of the country securely and bring it to the world. So it works. We know it works. Express VPN also keeps you safe from hackers, even on unsecured public wifi networks. If you're in a coffee shop or an airport, you sign on with Express VPN and all of a sudden you're safe. And by the way, it's easy to use, even for people who don't know anything about tech like me, you just tap one button and you're protected on any device. That's your iPhone, your laptop, your tablet, you name it. If you've got it, express VPN can protect it. And it works in up to eight devices at once. Express VPN is rated number one by top tech reviewers, like CAD and the Verge. Express. VPN protected our team for censorship across the world. And it can protect you two. So if you want to keep your privacy intact and fight back against the big tech surveillance machine, now is the time to get Express VPN. Use our special link. To get three extra months of express VP for free, go to ExpressVPN dot com slash tucker. That's express ex P-R-E-S-S vpn.com/tucker for three extra months free. And we hope you will. Hey guys. Josh Hammer here, the host of America on",AGAINST,stance_russia,NONE,russia,0
PBS,"strategically important for the U.S. to be a world leader in the industry, noting that the Chinese government is hostile to crypto. WATCH:Private event with crypto customers fuels accusations of Trump profiting off presidency Vance also touted the Trump administration’s record at fulfilling the campaign promises made last year. As president, Trump has established a strategic bitcoin reserve for the federal government and pardoned Ross Ulbricht, the founder of Silk Road, a black market website that was key to the early growth of bitcoin. Trump has also staked his administration with outspoken crypto backers while his administration has undone or paused several enforcement actions taken against large crypto companies. Several other Trump officials are speakers at the bitcoin conference, as are his sons Don Jr. and Eric. The president and his family’s use of crypto as a platform to make money for the Trump brand has drawn criticism from Democrats and even crypto enthusiasts as corrupt and unseemly. The Trump family holds about a 60% stake in World Liberty Financial, a crypto project that recently launched its own stablecoin, a fast-growing form of cryptocurrency whose values is often tied to the U.S. dollar. The U.S. Senate advanced legislation earlier this month that creates a federal framework to regulate stablecoins, a bill that Vance said the Trump administration wants passed into law quickly. Trump’s media company announced Tuesday that it was raising $2.5 billion to buy bitcoin, the world’s oldest and most popular cryptocurrency. The president and the first lady have also launched their own meme coins, with Trump recently attending a dinner for some of his coins’ biggest investors. Your donation makes a difference in these uncertain times.",FAVOR,stance_donald_trump,FAVOR,donald_trump,1
Morbid,"day that I got home leading up to this vacation. He had a new thing for our trip. Yeah. We drove. Yeah. So you have to be like prepared for that. He got, this is a little bit gross, but I don't care. He got these toilet seat covers. He got these toilet seat covers and you put them down and they like adhesed to the toilet seat. It changes your going to the bathroom experience. I hate a public restroom. Yeah. To the point where like, even in school, like in high school, I didn't like going to the bathroom. Yeah. Incredible. But yeah, the, I'll try to link the toilet seat covers. Yeah. 'cause they were great. Yeah. Anything that works. I mean by no means a a gatekeeper, you know, or, or like a professional when it comes to traveling or anything like that. But if it works with my kids or and us honey, I'll share it. Disagree. I think you became a professional planner idea. I think you should start a TikTok page of trips. Even though you go one once a year. Yeah. I go, I don't go on many at all, but, but hey, when I do I really prepare for it. You you do it right. So yeah. I found a lot of good hacks. I'm just so happy that you had a good time. I'm glad we turned our Disney trip around. I'm so happy. It was real rough that everybody got the stomach bug and like terrible was super sick. I was, everybody was sick. And it was just such a me lousy trip the first time. And it was weighing on us that that's the Disney trip that we had been planning forever. And so we were just",NONE,stance_united_states,NONE,united_states,0
The Ben Shapiro Show,"tribute to MLK, not a rebuttal of MLK that at least is the way that most Americans were brought up to see MLK Day. President Trump, for his part, says that among the other things he's going to do, he's going to be releasing files on the assassinations of JFK and MLK, which by the way, he totally should do. Now, as y'all know, I'm not a big conspiracy theorist when it comes to this stuff. Lee Harvey Oswald, the overwhelming evidence demonstrates killed John F. Kennedy Jr. There was no second shooter now where Lee Harvey Oswald came from. He was a Kami who'd been recruited by the USSR. He actually went to the USSR, spent time there, tried to walk into the Soviet Embassy in Mexico at one point, and was rejected, was a nutter, had tried to kill somebody earlier. But you know, again, should all the files be released. Absolutely. The American people are always owed transparency when it comes to this sort of stuff. Here is President Trump saying he's gonna release the JFK and the MLK files As a first step toward restoring transparency and accountability to government. We will also reverse the over classification of government documents. And in the coming days, we are going to make public remaining records relating to the assassinations of President John F. Kennedy, his brother Robert Kennedy, as well as Dr. Martin Luther King Jr. And other topics of great public interest. It's all gonna be released Uncle Sam. And that I think is a very positive, again, transparency is absolutely necessary. I think that that is going to be a very positive development for the country. Well, right now, Elon Musk and the whole cabinet have arrived at the Capitol building for",NONE,stance_robert_f._kennedy_jr,NONE,robert_f._kennedy_jr,0
The Meidastouch Podcast,"NASDAQ composite has fallen around 10% from its recent peak Oil prices have slipped havens, including gold and US treasuries Meanwhile have rallied quote, I think a lot of people were just assuming the tariffs were just a bluff and now there's more uncertainty around. That said, Keith Lerner, co-Chief Investment Officer at Truist Advisory Services, the move show investors struggling to gauge of the conditions underpinning two straight years of near 25%. Stock gains have deteriorated significantly. Let me answer the question. The answer is yes. And by the way, the International Chamber of Commerce a right-leaning think tank. Usually tariff war risks sinking the world into new Great Depression. The ICC, the Chamber of Commerce warrants, the World Economy could face a crash similar to the Great Depression of the 1930s. You think maybe if they're doing the exact same things, that's what's causing it. But look, folks, commerce Secretary Howard Lutnick, he's got a plan and his plan is just to say that Donald Trump is doing it hard. He's hitting him hard. You gotta love how hard he does it here. Play this clip And and Donald Trump is gonna stand up for American families and he is going to do it hard and he's going to do it strong. And that's why we love him as our president. Well, And do you know if Fast Growing Trees is the biggest online nursery in the US? With thousands of different plants and over 2 million happy customers? They have all the plants your yard needs, like fruit trees, privacy trees, flowering trees, shrubs and so much more. Whatever plants",FAVOR,stance_donald_trump,AGAINST,donald_trump,-1
Armchair Expert With Dax Shepard,"smoothie we could. We didn't order, but we just wanted to see what could you get to. Yeah. Because there's all these add-ons you can do. Yeah. And I think we got to like $43. Yeah, sounds about right. So I'm gonna say of the many people I've researched over 800 at this point, I've never gone to the early life and not one word about the parents. Oh really? Are you parentless? No. Oh, thank God. Oh my God. Not At all. I'm so relieved. No, no. Cherry Hill, New Jersey. Cherry Hill, New Jersey. Of course, when I think of New Jersey, I immediately go, oh, it's gonna be a suburb of New York. But no, A suburb of Philadelphia. Suburb Of Philadelphia. And I dunno how much time you've spent New Jersey, we get kind of like a weird wrap. I think most people, and this is very much in our blood, they associate us with the Sopranos or with the Jersey Shore. And that element is definitely there. But I couldn't wait to get outta New Jersey when I was growing up there. And now as an adult, I realize, realized what a special place. There's like something in the water there. Yeah. It's very spooky and mystical. Ooh. Yeah. And there's a lot of big emotions there. And we have the pine barons, but then we also have the ocean. What's The pine barons? The pine barons is where the jersey devil allegedly lives. The Jersey Devil. It's in the Sopranos. They Go kill people there. The Russian, They take the Russian there and then they get lost. Yes. A lot of schools in New Jersey take you there to teach you about the land you're on. You go through these swamps and",NONE,stance_united_states,NONE,united_states,0
The Meidastouch Podcast,"I was information with a reporter in that chat. I was bothered by both of them because let's be realistic. If that was a military officer, they would've been destroyed. But because that's one of the Trump's buddies, it's okay, we're not gonna do anything about it. I know you Wanted to play that clip of Jay 'cause he says it so simply as I've always said, this shouldn't be about Democrats, Republicans, there shouldn't be pundits over complicating this. It's like, what the hell are you doing? What are you doing? Let's bring in Democratic Congress member Jim Hymes, ranking member of the House Intelligence Committee, Congress member. I mean, I think Jay just puts it accurately there. What do you make of all of this? And especially with the news now that Mike Walls, national security advisors, I guess what he's got promoting, he got moved to a different position. He is now the United States. He has to be confirmed, but he's the United Nations ambassador now. Yeah, yeah. You know, I think, look, Jay put it perfectly, which is people are coming to sense that something you really want in a president, which is a sense of accountability, is not there with Donald Trump, right? I mean we, we, we saw this with the stock market, right? When the stock market was going great, right at the beginning of the inauguration, you know, the president puts up a tweet saying, this is the Trump stock market. Then it turns around, he says, no, it's the Biden stock market. I think, you know, I think if I'd had an opportunity to ask Jay a question, it's, it's, it's not just about classified information and",AGAINST,stance_united_kingdom,AGAINST,united_kingdom,-1
PBS,"and, for the past year, the U.S. has banned uranium imports from Russia due to that country’s 2022 invasion of Ukraine. More domestic mining would address a major imbalance. The U.S. imports about 98% of the uranium it uses to generate 30% of the world’s nuclear energy. More than two-thirds of U.S. imports come from the world’s top three uranium-mining countries: Canada, Australia and Kazakhstan. Less government regulation won’t spur more U.S. uranium mining by itself. The market matters. And while spot-market prices are up from several years ago, they’re down about a third from their recent high in early 2024. While some new uranium mining and processing projects have been announced, their number falls far short of a surge. That suggests prices need to rise — and stay there — for a true industry revival, said John Uhrie, a former uranium executive who now works in the cement industry. “Until the price goes up dramatically, you’re not going to be able to actually put these places into operation,” Uhrie said. “You need significant capital on the ground.” Still, the industry is showing new life in the Southwest. Anfield Energy, a Canadian company, also looks to reopen the Shootaring Canyon uranium mill in southern Utah near Glen Canyon National Recreation Area. It closed in the early 1980s. A uranium mill turns raw ore into yellowcake, a powdery substance later processed elsewhere into nuclear fuel. Anfield officials did not return messages seeking comment on plans to reopen the mill and the Velvet-Wood mine. Energy Fuels, another Canadian company which ranks as the top U.S. uranium miner, opened the Pinyon Plain mine about 10 miles (16 kilometers) from",AGAINST,stance_russia_ukraine,NONE,russia_ukraine,0
The Meidastouch Podcast,"midas. (9m 5s): So let me remind you though of the difference in the headlines. When Trump was in office, when Biden was in office, when Biden stock market today, the Dow s and p hit record closes as stocks extend September super rally, the new Republic Trump's failing stock just hit its lowest point. Yet, as we as, as we also reported before as well under the Biden administration, 16 million new jobs record, high stock market, it set records like every day record, high new business applications, record high middle class wealth gains record, high private investment in American manufacturing, strongest growth among leading economies. (9m 47s): And, it wasn't just like by accident, right? There's the Infrastructure Act, inflation reduction Act, Biden's concept of bottom up, middle out economics versus let's provide social welfare for billionaires. That's who needs welfare. The billionaires need to be taken care of even more, which is Trump's plan. When you unlock the ingenuity of the American worker, which Biden realized, and you invest in the worker that lifts us all up, Trump's plan is the opposite. And frankly worse than the opposite. 'cause he just doesn't know what he's doing. He's incompetent. So I've always been saying to people, I don't know what you've invented in your mind about this guy. In addition to how dangerous he, he's, he's an idiot. (10m 29s): He has no clue what he's doing with the economy. The very fact that he was telling people we're gonna tariff China tells you that he doesn't even know what a tariff is. A tariff is a tax imposed on the American companies. Remember, we've been showing this over and over again, all of the record clo, the record highs in the stock",NONE,stance_china,FAVOR,china,1
Club Shay Shay,"Even think about David in the Bible, people don't know that Psalms is a song versus from a song. And that as much as people talk about it, if you took away the fact that God said that, that was his man, if you look at David, he was a gangster rapper. No, really, I'm serious. And the only reason why Christians hoop and holler about David is because God said, that's my man. But if you took that away Right. You would treat him like you used to treat David Banner and how they trying to treat you. So just like, just as men, bro. Like regardless, it ain't my, it ain't my place bro. But I wanted to do a check on you. Good. Because most people don't. Right. And most people really don't care, bro. Right. Yeah. Well bless it bro. Everything that you've accomplished Yeah. All that you're doing and what you'll continue to accomplish. Thank you Jill. Bless you. I appreciate it, man. I appreciate it, bro. Thank you. Thank you for having me in your space, bro. Thanks for coming. How have you been? Mm, Bro. I'm better than I ever been in my life, bro. To be honest with you, man, it's, it's so funny man, because the kids call try to call me OG and I, and I'm serious bro. With the exception of speed, I'm stronger than I ever been. Right. I'm smarter, wiser, jamming, rapping better than I ever had. I'm definitely a better actor. And what people don't understand is my life is just starting. Bro, look at what you were able to accrue after football. Yes. And think about this, bro. Like sometimes the things that we thought that we wanted, God didn't give it to us.",NONE,stance_religion,NONE,religion,0
Call Her Daddy,"golden goose. You're the golden goose. You gotta, you know, we're gonna, you gotta pay the rent. You know, that's, that's, that's what it is. And then he would guilt trip me if I didn't wanna do it, or if I said I was too sick or I'm not mentally I can't, you know, I need a break. You were on Celebrity Big Brother when you were 18. This was the first time you were really apart from Doug. Yeah. Can you take us through what it was like moving into that house and what that experience was like? When we got to London, I remember being on a hotel room in the room. I'm just, I have this trauma right now that I'm just even thinking about this. But he, he was standing there. Doug was standing there, and I, I was holding onto his legs and I was just crying my eyes out because I knew the producers were gonna come pick me up. I couldn't, this was the first time I was ever like, truly away from him. I, I, I, I couldn't breathe. Like, being away from this man, that's how groomed I was. I, I, I didn't know how the hell I was gonna get away from him and be away from him for a few weeks or month, a month or whatever. And I was so distraught and I was so depressed. But then by the time I got on the show and by the time I, you know, became friends with Dustin Diamond, like he, he was the One who was in there that kind of made me realize some things in my relationship with Doug. And by the time I ended the show, I knew I I,",NONE,stance_united_states,NONE,united_states,0
PBS,"underscored that U.S. “intelligence sharing in terms of defense for Ukraine” would continue. Prior to his call with Trump, Zelenskyy said Putin’s limited ceasefire pledge was “very much at odds with reality” after Russia launched an overnight barrage of drone strikes across Ukraine, including some that struck Ukrainian energy facilities. Russia responded by saying it had halted its targeting of Ukraine’s energy facilities and accused Kyiv of attacking Russian equipment near one of its pipelines. “Unfortunately, we see that for now there is no reciprocity on the part of the Kyiv regime,” Kremlin spokesman Dmitry Peskov said. The White House described Tuesday’s call between Trump and Putin as the first step in a “movement to peace” that Washington hopes will include a maritime ceasefire in the Black Sea and, eventually, a full and lasting end to the fighting. But there was no indication that Putin is ready to back away from his conditions for a prospective peace deal, which are fiercely opposed by Kyiv. The Institute for the Study of War, a Washington-based think tank, said that Putin’s demands during the call with Trump would amount to “Ukrainian capitulation.” “Putin is attempting to hold the temporary ceasefire proposal hostage in order to extract preemptive concessions ahead of formal negotiations to end the war,” the ISW said in an analysis of readouts of the Trump-Putin call from the White House and Kremlin. The White House also confirmed that technical experts from the U.S., Ukraine and",AGAINST,stance_vladimir_putin,NONE,vladimir_putin,0
The Tucker Carlson Show,"some of these people who I know personally and particularly in the Congress. And you're like, why are you doing that? You don't agree with that and you're out there doing it anyway. We always imagine that it's just donors. So they're getting paid to do that. I think it's more than donors. I've seen politicians turn down donors before. I've see, watched it. You know, I don't believe that. I'm not doing That. And a lot of people have very safe seats. Not everybody is desperate for donors. Exactly. Can I just give you an example? I'm not saying so it's not just the carrot. There's a stick in there. I'm, I'm not saying this happened here. I'm not saying that at all. I have no basis for saying it. But I had Mike Johnson on my show about two months before unexpectedly he became the speaker when he just became like the ninth compromised. You had and Mike Johnson on your show. Yeah, I interviewed Mike Johnson. Oh, wow. And the reason I interviewed Mike Johnson was because I had, he did not go on your show now. Oh no. This is, this is why this is so interesting. I didn't know that. This is why. So yeah, just by chance I interviewed Mike Johnson. The reason was was because Christopher Ray went before a committee on which he sat in the house. And Mike Johnson grilled him about FBI spying about the involvement of the intelligence communities and our politics, about the attempt to censor the internet coming from the Intel Agencies. And he did it with this great kind of intellect, but also this very effective demeanor. And I could just tell that he passionately felt passionately about these issues and that I started following",FAVOR,stance_mike_johnson,NONE,mike_johnson,0
